fiscal_year,base_value,cost_growth_ratio,schedule_slip_days,planned_duration_days,number_of_offers,n_transactions,military_branch,naics_code,psc_code,contract_type,extent_competed,place_state
2011,19055.4,-0.8293003558046538,30.0,106.0,1.0,2,NAVSUP,442110.0,Y112,FIRM FIXED PRICE,COMPETED UNDER SAP,
2011,18780.5,0.0,0.0,139.0,1.0,1,NAVSUP,334514.0,Z244,FIRM FIXED PRICE,NOT COMPETED UNDER SAP,VA
2011,67728.0,-1.5379016064257027,16.0,116.0,1.0,5,NAVSUP,238220.0,Z242,FIRM FIXED PRICE,NOT COMPETED,HI
2011,4746.0,0.0,0.0,2.0,1.0,1,NAVSUP,238220.0,Z111,FIRM FIXED PRICE,NOT COMPETED,HI
2012,16005.0,-1.0,0.0,14.0,1.0,3,NAVSUP,238320.0,Z2FD,FIRM FIXED PRICE,COMPETED UNDER SAP,HI
2014,7095.29,0.0,0.0,92.0,1.0,1,NAVSUP,337122.0,Z2PZ,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,HI
2013,4503.53,0.0,0.0,31.0,2.0,1,NAVSUP,561210.0,Z1LB,FIRM FIXED PRICE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,AK
2012,5553.24,0.0,0.0,6.0,3.0,1,NAVSUP,334112.0,Z1BG,FIRM FIXED PRICE,COMPETED UNDER SAP,HI
2012,3869.0,0.0,0.0,5.0,3.0,1,NAVSUP,334112.0,Z1BG,FIRM FIXED PRICE,COMPETED UNDER SAP,HI
2013,2733.27,0.0,56.0,2.0,3.0,1,NAVSUP,334112.0,Z2NZ,FIRM FIXED PRICE,COMPETED UNDER SAP,
2013,5301.46,0.0,0.0,34.0,3.0,1,NAVSUP,334112.0,Z1BG,FIRM FIXED PRICE,COMPETED UNDER SAP,HI
2011,14273.0,0.0,0.0,365.0,1.0,1,NAVSEA,335912.0,Z299,FIRM FIXED PRICE,COMPETED UNDER SAP,FL
2019,27240.7,0.0,0.0,28.0,3.0,1,NAVSEA,238330.0,Z1AA,FIRM FIXED PRICE,COMPETED UNDER SAP,HI
2011,24251.12,15.785162912063443,-1496.0,3314.0,2.0,160,NAVFAC,236210.0,Y129,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,
2011,1559000.0,-1.0421707889672867,2087.0,366.0,2.0,47,NAVFAC,236220.0,Z111,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,
2011,154507.84,-3.3079017867313403,1306.0,358.0,3.0,10,NAVFAC,236220.0,Z299,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,
2011,152958.0,-1.306630905215811,1238.0,358.0,3.0,11,NAVFAC,236220.0,Z299,FIRM FIXED PRICE,FULL AND OPEN COMPETITION,
